strategy,pt,net_benefit,net_benefit_treat_all,beats_both
single best (lightgbm_n800_leaves15_lr0.01),0.32966555183946483,0.08217215258662021,-0.20872395817137193,True
single best (lightgbm_n800_leaves15_lr0.01),0.33163879598662205,0.08192814639523252,-0.21229254872041678,True
single best (lightgbm_n800_leaves15_lr0.01),0.3336120401337792,0.08168269514835759,-0.21588227320596273,True
single best (lightgbm_n800_leaves15_lr0.01),0.3355852842809364,0.0814357859709918,-0.21949331992493745,True
single best (lightgbm_n800_leaves15_lr0.01),0.3375585284280936,0.08118740583472617,-0.22312587941782233,True
single best (lightgbm_n800_leaves15_lr0.01),0.3395317725752508,0.08093754155545468,-0.22678014450216769,True
single best (lightgbm_n800_leaves15_lr0.01),0.341505016722408,0.07791609668854847,-0.23045631030670985,True
single best (lightgbm_n800_leaves15_lr0.01),0.3434782608695652,0.07627818238520666,-0.23415457430610329,True
single best (lightgbm_n800_leaves15_lr0.01),0.3454515050167224,0.07675476930293296,-0.23787513635628268,True
single best (lightgbm_n800_leaves15_lr0.01),0.34742474916387955,0.07512019026007435,-0.24161819873046372,True
single best (lightgbm_n800_leaves15_lr0.01),0.34939799331103677,0.07486913909838516,-0.24538396615580158,True
single best (lightgbm_n800_leaves15_lr0.01),0.35137123745819393,0.07461656045205745,-0.2491726458507171,True
single best (lightgbm_n800_leaves15_lr0.01),0.35334448160535115,0.0751192525431827,-0.25298444756290717,True
single best (lightgbm_n800_leaves15_lr0.01),0.3553177257525083,0.07487013259495108,-0.2568195836080519,True
single best (lightgbm_n800_leaves15_lr0.01),0.3572909698996655,0.07461948295145529,-0.2606782689092372,True
single best (lightgbm_n800_leaves15_lr0.01),0.3592642140468227,0.07436728947990165,-0.2645607210371025,True
single best (lightgbm_n800_leaves15_lr0.01),0.3612374581939799,0.07411353787286219,-0.268467160250736,True
single best (lightgbm_n800_leaves15_lr0.01),0.36321070234113706,0.07385821364556903,-0.27239780953932813,True
single best (lightgbm_n800_leaves15_lr0.01),0.3651839464882943,0.07360130213315809,-0.2763528946646018,True
single best (lightgbm_n800_leaves15_lr0.01),0.3671571906354515,0.07414634974722004,-0.28033264420403803,True
single best (lightgbm_n800_leaves15_lr0.01),0.36913043478260865,0.0738930644831819,-0.284337289594911,True
single best (lightgbm_n800_leaves15_lr0.01),0.37110367892976587,0.07225314823686362,-0.2883670651791539,True
single best (lightgbm_n800_leaves15_lr0.01),0.37307692307692303,0.07061162755128053,-0.2924222082490695,True
single best (lightgbm_n800_leaves15_lr0.01),0.37505016722408024,0.0711847316031704,-0.29650295909391033,True
single best (lightgbm_n800_leaves15_lr0.01),0.3770234113712374,0.07093201763680548,-0.30060956104734027,True
single best (lightgbm_n800_leaves15_lr0.01),0.3789966555183946,0.07067769766828465,-0.304742260535804,True
