strategy,threshold,tp,tn,fp,fn,misclass_rate,accuracy,sensitivity,specificity,ppv,npv,lr_plus,lr_minus
ensemble (top 5),0.04413809735955152,123,396,189,14,0.28116343490304707,0.7188365650969529,0.8978102189781022,0.676923076923077,0.3942307692307692,0.9658536585365853,2.7789363920750785,0.15096217650962174
ensemble (top 5),0.04428933892606596,123,397,188,14,0.27977839335180055,0.7202216066481995,0.8978102189781022,0.6786324786324787,0.3954983922829582,0.9659367396593674,2.7937179686286693,0.150581919138061
ensemble (top 5),0.04455665298088755,123,398,187,14,0.278393351800554,0.721606648199446,0.8978102189781022,0.6803418803418804,0.3967741935483871,0.9660194174757282,2.808657636910106,0.15020357260756334
ensemble (top 5),0.0455842399750216,122,398,187,15,0.27977839335180055,0.7202216066481995,0.8905109489051095,0.6803418803418804,0.3948220064724919,0.9636803874092009,2.7858230219758777,0.16093239922238928
ensemble (top 5),0.04571866669737729,122,399,186,15,0.278393351800554,0.721606648199446,0.8905109489051095,0.6820512820512821,0.3961038961038961,0.9637681159420289,2.80080056510478,0.16052905987596724
ensemble (top 5),0.04585603922016997,122,400,185,15,0.2770083102493075,0.7229916897506925,0.8905109489051095,0.6837606837606838,0.3973941368078176,0.963855421686747,2.81594002761886,0.16012773722627732
ensemble (top 5),0.04595716862673536,122,401,184,15,0.2756232686980609,0.7243767313019391,0.8905109489051095,0.6854700854700855,0.39869281045751637,0.9639423076923077,2.8312440495080926,0.1597284161858128
ensemble (top 5),0.04595909678252116,122,402,183,15,0.2742382271468144,0.7257617728531855,0.8905109489051095,0.6871794871794872,0.4,0.9640287769784173,2.8467153284671536,0.15933108181719138
ensemble (top 5),0.04643691522968655,122,403,182,15,0.27285318559556787,0.7271468144044322,0.8905109489051095,0.6888888888888889,0.40131578947368424,0.9641148325358851,2.8623566214807092,0.15893571933129264
ensemble (top 5),0.04672772484409376,122,404,181,15,0.27146814404432135,0.7285318559556786,0.8905109489051095,0.6905982905982906,0.40264026402640263,0.964200477326969,2.8781707464612656,0.1585423140854231
ensemble (top 5),0.046772337940529096,122,405,180,15,0.27008310249307477,0.7299168975069252,0.8905109489051095,0.6923076923076923,0.40397350993377484,0.9642857142857143,2.8941605839416056,0.1581508515815085
