rank,model,status,seconds,auroc,auprc,brier_score,accuracy,sensitivity,specificity,ppv,npv,f1,threshold,tp,tn,fp,fn,se,z_vs_baseline,p_one_tailed
211,adaboost_n100_lr0.1,ok,2.28,0.8776155717761558,0.629024056413104,0.1286229847980671,0.8407202216066482,0.2408759124087591,0.9811965811965812,0.75,0.8466076696165191,0.3646408839779005,0.5,33.0,574.0,11.0,104.0,0.019673112299101795,2.254828945075347,0.012072033846760588
212,adaboost_n200_lr0.5,ok,4.48,0.8775032753134944,0.6420630558655186,0.1774373039324625,0.8601108033240997,0.5036496350364964,0.9435897435897436,0.6764705882352942,0.8903225806451613,0.5774058577405857,0.5,69.0,552.0,33.0,68.0,0.01968065586282607,2.250799714558632,0.012199112818641611
213,xgboost_n800_d11_lr0.05,ok,4.65,0.8774720818516439,0.6443509414516377,0.1099229320861192,0.850415512465374,0.4744525547445255,0.9384615384615383,0.6435643564356436,0.8840579710144928,0.5462184873949579,0.5,65.0,549.0,36.0,72.0,0.019682750284444408,2.2496807444744853,0.012234609354385029
214,rf_n200_d10_balanced,ok,2.89,0.8774720818516439,0.6523326840127539,0.1112810575108712,0.8462603878116344,0.5766423357664233,0.9094017094017094,0.5984848484848485,0.9016949152542372,0.587360594795539,0.5,79.0,532.0,53.0,58.0,0.019682750284444408,2.2496807444744853,0.012234609354385029
215,xgboost_n800_d5_lr0.1,ok,3.53,0.8774034562355731,0.6236548345103856,0.1153112101804592,0.8545706371191135,0.4817518248175182,0.941880341880342,0.66,0.8858520900321544,0.5569620253164557,0.5,66.0,551.0,34.0,71.0,0.019687356463143343,2.2472194088358735,0.01231300418906589
216,catboost_n300_d4_lr0.05,ok,3.21,0.8773785014660928,0.6682745332400636,0.1019178834185847,0.8601108033240997,0.4598540145985401,0.953846153846154,0.7,0.8829113924050633,0.5550660792951542,0.5,63.0,558.0,27.0,74.0,0.019689030909412226,2.246324513501031,0.012341614759531772
217,catboost_plain_n300_d4_lr0.05,ok,3.03,0.8773785014660928,0.6682745332400636,0.1019178834185847,0.8601108033240997,0.4598540145985401,0.953846153846154,0.7,0.8829113924050633,0.5550660792951542,0.5,63.0,558.0,27.0,74.0,0.019689030909412226,2.246324513501031,0.012341614759531772
218,catboost_n500_d7_lr0.1,ok,19.13,0.8773722627737226,0.6499836096966771,0.1096544988510531,0.8601108033240997,0.4233576642335766,0.9623931623931624,0.725,0.8769470404984424,0.5345622119815668,0.5,58.0,563.0,22.0,79.0,0.019689449477010332,2.2461008009804155,0.012348776031840591
219,catboost_n100_d6_lr0.01,ok,2.31,0.8772786823881714,0.648171942349771,0.1183612779756305,0.8407202216066482,0.1824817518248175,0.9948717948717948,0.8928571428571429,0.8386167146974063,0.303030303030303,0.5,25.0,582.0,3.0,112.0,0.019695725881331696,2.242745655953565,0.012456610335306872
220,rf_n500_d5_None,ok,6.3,0.8772474889263211,0.6623639671504237,0.1067160214386509,0.8518005540166205,0.2481751824817518,0.9931623931623932,0.8947368421052632,0.8494152046783626,0.3885714285714285,0.5,34.0,581.0,4.0,103.0,0.019697817137464286,2.2416275003295296,0.012492728546149912
221,catboost_n800_d6_lr0.1,ok,17.57,0.8771726246178801,0.6512855228619,0.1124413657588122,0.8587257617728532,0.4598540145985401,0.952136752136752,0.6923076923076923,0.8827258320126783,0.5526315789473685,0.5,63.0,557.0,28.0,74.0,0.01970283436093345,2.238944387642393,0.012579767430631161
222,catboost_n500_d8_lr0.1,ok,35.58,0.8771476698483998,0.6313287400803664,0.114155173107919,0.8573407202216067,0.4160583941605839,0.9606837606837608,0.7125,0.8753894080996885,0.5253456221198156,0.5,57.0,562.0,23.0,80.0,0.01970450620703843,2.238050161245844,0.012608892100000268
223,xgboost_n200_d11_lr0.1,ok,1.83,0.8771414311560297,0.6414568775653441,0.1095551444037015,0.8545706371191135,0.4744525547445255,0.9435897435897436,0.6632653061224489,0.8846153846153846,0.5531914893617021,0.5,65.0,552.0,33.0,72.0,0.019704924124695773,2.237826615931353,0.01261618201220338
224,catboost_n200_d8_lr0.01,ok,14.04,0.8771351924636596,0.6558743690709006,0.1066402043226957,0.850415512465374,0.2627737226277372,0.988034188034188,0.8372093023255814,0.8512518409425626,0.4,0.5,36.0,578.0,7.0,101.0,0.01970534202480772,2.237603075130102,0.012623475424849429
225,catboost_n300_d7_lr0.1,ok,11.74,0.8771227150789194,0.6525506833922315,0.1076551971751924,0.8573407202216067,0.4160583941605839,0.9606837606837608,0.7125,0.8753894080996885,0.5253456221198156,0.5,57.0,562.0,23.0,80.0,0.019706177772399747,2.237156007066106,0.012638072756468
226,xgboost_n300_d5_lr0.05,ok,2.46,0.8770977603094392,0.6539666275206808,0.1054628698035276,0.8573407202216067,0.4744525547445255,0.947008547008547,0.6770833333333334,0.8849840255591054,0.5579399141630901,0.5,65.0,554.0,31.0,72.0,0.019707849057086547,2.2362619250835345,0.012667309480012823
227,rf_n200_d5_balanced,ok,2.84,0.8770915216170689,0.6473577598658251,0.1281188919297284,0.8476454293628809,0.6861313868613139,0.8854700854700854,0.5838509316770186,0.9233511586452764,0.6308724832214765,0.5,94.0,518.0,67.0,43.0,0.019708266834410983,2.236038415866387,0.012674627430757757
228,catboost_n500_d4_lr0.001,ok,5.01,0.8770603281552187,0.6443796938869905,0.1524256198785202,0.8337950138504155,0.1313868613138686,0.9982905982905984,0.9473684210526316,0.8307254623044097,0.2307692307692307,0.5,18.0,584.0,1.0,119.0,0.019710355458003266,2.2349209374363657,0.01271126986618687
229,catboost_plain_n100_d8_lr0.05,ok,6.99,0.8770228960009983,0.6548814459004908,0.1047939554925321,0.850415512465374,0.3138686131386861,0.976068376068376,0.7543859649122807,0.8586466165413534,0.4432989690721649,0.5,43.0,571.0,14.0,94.0,0.01971286122779101,2.2335801121223158,0.012755356853711541
230,catboost_n100_d8_lr0.05,ok,7.09,0.8770228960009983,0.6548814459004908,0.1047939554925321,0.850415512465374,0.3138686131386861,0.976068376068376,0.7543859649122807,0.8586466165413534,0.4432989690721649,0.5,43.0,571.0,14.0,94.0,0.01971286122779101,2.2335801121223158,0.012755356853711541
231,lightgbm_n100_leaves15_lr0.2,ok,0.54,0.8769417930001873,0.6489782061898692,0.1142537739946822,0.8656509695290858,0.5036496350364964,0.9504273504273504,0.7040816326530612,0.8910256410256411,0.5872340425531914,0.5,69.0,556.0,29.0,68.0,0.019718288231651285,2.2306755471857076,0.012851314262748104
232,xgboost_n200_d7_lr0.1,ok,1.74,0.8769293156154471,0.6397640489892565,0.1103192599560483,0.853185595567867,0.4744525547445255,0.941880341880342,0.6565656565656566,0.884430176565008,0.5508474576271186,0.5,65.0,551.0,34.0,72.0,0.019719122892599635,2.2302287586098934,0.01286612998001313
233,catboost_n800_d8_lr0.1,ok,55.18,0.8768981221535966,0.6326589681129665,0.1156295181965881,0.8518005540166205,0.4087591240875912,0.9555555555555556,0.6829268292682927,0.8734375,0.5114155251141552,0.5,56.0,559.0,26.0,81.0,0.01972120923858656,2.229111865964279,0.012903231298486806
234,catboost_n300_d4_lr0.001,ok,3.06,0.8768981221535966,0.6393293808625821,0.1785091091754022,0.8268698060941828,0.0948905109489051,0.9982905982905984,0.9285714285714286,0.8248587570621468,0.1721854304635761,0.5,13.0,584.0,1.0,124.0,0.01972120923858656,2.229111865964279,0.012903231298486806
235,rf_n800_d5_None,ok,10.01,0.8768794060764864,0.661274050124667,0.1070481637709191,0.8490304709141274,0.2408759124087591,0.9914529914529916,0.868421052631579,0.847953216374269,0.3771428571428571,0.5,33.0,580.0,5.0,104.0,0.01972246083612989,2.2284417843947786,0.012925534671501482
236,catboost_n200_d7_lr0.1,ok,7.57,0.8768731673841164,0.6518620509472723,0.1066887250923183,0.8573407202216067,0.4014598540145985,0.964102564102564,0.7236842105263158,0.8730650154798761,0.5164319248826291,0.5,55.0,564.0,21.0,82.0,0.019722878000309304,2.2282184328727546,0.012932976233708038
237,xgboost_n500_d3_lr0.01,ok,2.75,0.8768669286917462,0.6667482717550988,0.0982009945481992,0.8642659279778393,0.4598540145985401,0.958974358974359,0.7241379310344828,0.8834645669291339,0.5625,0.5,63.0,561.0,24.0,74.0,0.019723295146989683,2.2279950858507864,0.012940421350279618
238,xgboost_n800_d7_lr0.05,ok,4.77,0.8768419739222659,0.6332950657928733,0.111633371088394,0.853185595567867,0.4817518248175182,0.9401709401709402,0.6534653465346535,0.8856682769726248,0.5546218487394958,0.5,66.0,550.0,35.0,71.0,0.019724963558742193,2.227101742757408,0.012970237385388939
239,catboost_n200_d7_lr0.05,ok,7.61,0.8768232578451557,0.6589694449438988,0.1043020511920552,0.850415512465374,0.364963503649635,0.964102564102564,0.704225352112676,0.8663594470046083,0.4807692307692308,0.5,50.0,564.0,21.0,87.0,0.01972621468386918,2.226431782673013,0.01299263679424456
240,lightgbm_dart_n100_leaves63_lr0.1,ok,0.82,0.8768045417680455,0.6821183406701573,0.0966495139073933,0.8781163434903048,0.5328467153284672,0.958974358974359,0.7525773195876289,0.8976,0.6239316239316239,0.5,73.0,561.0,24.0,64.0,0.019727465651582097,2.22576186306713,0.013015068283058318
241,lightgbm_dart_n100_leaves31_lr0.1,ok,0.78,0.8768045417680455,0.6821183406701573,0.0966495139073933,0.8781163434903048,0.5328467153284672,0.958974358974359,0.7525773195876289,0.8976,0.6239316239316239,0.5,73.0,561.0,24.0,64.0,0.019727465651582097,2.22576186306713,0.013015068283058318
242,lightgbm_goss_n200_leaves15_lr0.1,ok,0.51,0.8767795869985651,0.6434405532156813,0.108293791179536,0.8628808864265928,0.5328467153284672,0.9401709401709402,0.6759259259259259,0.8957654723127035,0.5959183673469388,0.5,73.0,550.0,35.0,64.0,0.019729133363716386,2.2248686998782534,0.013045026895793121
243,xgboost_n100_d5_lr0.2,ok,0.84,0.8766423357664234,0.6379874737752617,0.1113038497156559,0.8559556786703602,0.4817518248175182,0.9435897435897436,0.6666666666666666,0.8860353130016051,0.559322033898305,0.5,66.0,552.0,33.0,71.0,0.019738300782173656,2.2199575875200703,0.013210823386964332
244,catboost_n800_d7_lr0.2,ok,29.76,0.8765861875350927,0.6399919627098634,0.1153629261789915,0.8559556786703602,0.4233576642335766,0.9572649572649572,0.6987951807228916,0.8763693270735524,0.5272727272727272,0.5,58.0,560.0,25.0,79.0,0.019742048653495024,2.217949122466322,0.013279150809342943
245,xgboost_n500_d9_lr0.1,ok,3.0,0.8765861875350925,0.630691200437753,0.1128388774633057,0.8559556786703602,0.5109489051094891,0.9367521367521368,0.6542056074766355,0.8910569105691057,0.5737704918032787,0.5,70.0,548.0,37.0,67.0,0.019742048653495024,2.2179491224663184,0.013279150809343165
246,catboost_n800_d7_lr0.1,ok,29.83,0.8765861875350925,0.651193249976094,0.1104977837397966,0.8573407202216067,0.4306569343065693,0.9572649572649572,0.7023809523809523,0.877742946708464,0.5339366515837104,0.5,59.0,560.0,25.0,78.0,0.019742048653495024,2.2179491224663184,0.013279150809343165
247,xgboost_n100_d9_lr0.2,ok,1.0,0.8765799488427226,0.6421062369699538,0.1116193350405138,0.8642659279778393,0.4963503649635036,0.9504273504273504,0.7010309278350515,0.8896,0.5811965811965812,0.5,68.0,556.0,29.0,69.0,0.019742464996378863,2.2177259821166726,0.013286760790645169
248,catboost_n200_d4_lr0.001,ok,2.2,0.8765737101503526,0.6391258445249414,0.1969236872506109,0.8227146814404432,0.072992700729927,0.9982905982905984,0.9090909090909092,0.8213783403656821,0.1351351351351351,0.5,10.0,584.0,1.0,127.0,0.01974288132181402,2.2175028462527253,0.013294374385692143
249,catboost_n500_d6_lr0.1,ok,11.24,0.876536277996132,0.6526908600044672,0.1117174572065632,0.8559556786703602,0.4452554744525547,0.952136752136752,0.6853932584269663,0.8799368088467614,0.5398230088495575,0.5,61.0,557.0,28.0,76.0,0.01974537890806264,2.2161641252516846,0.013340131915659414
250,xgboost_n300_d5_lr0.2,ok,1.51,0.8765175619190219,0.626752831824335,0.1176869761003582,0.8545706371191135,0.4744525547445255,0.9435897435897436,0.6632653061224489,0.8846153846153846,0.5531914893617021,0.5,65.0,552.0,33.0,72.0,0.019746627465716347,2.215494825283446,0.01336305956898165
251,xgboost_n100_d5_lr0.1,ok,1.0,0.8765175619190216,0.6456696502266408,0.1033336803334772,0.8670360110803325,0.4744525547445255,0.958974358974359,0.7303370786516854,0.8862559241706162,0.5752212389380531,0.5,65.0,561.0,24.0,72.0,0.01974662746571635,2.2154948252834386,0.013363059568981983
252,lightgbm_goss_n300_leaves15_lr0.1,ok,0.67,0.8764801297648013,0.6243165835723146,0.1167563392656813,0.853185595567867,0.5109489051094891,0.9333333333333332,0.6422018348623854,0.8907014681892332,0.5691056910569106,0.5,70.0,546.0,39.0,67.0,0.019749124110226664,2.2141563463703706,0.01340901282375373
253,xgboost_n300_d7_lr0.05,ok,2.88,0.876442697610581,0.6426760605327385,0.1061915586308653,0.8573407202216067,0.4744525547445255,0.947008547008547,0.6770833333333334,0.8849840255591054,0.5579399141630901,0.5,65.0,554.0,31.0,72.0,0.019751620127199516,2.212818028767026,0.013455096904820052
254,xgboost_n300_d7_lr0.1,ok,2.15,0.8764426976105809,0.6354468148216443,0.1124779607316601,0.850415512465374,0.4744525547445255,0.9384615384615383,0.6435643564356436,0.8840579710144928,0.5462184873949579,0.5,65.0,549.0,36.0,72.0,0.01975162012719953,2.212818028767022,0.013455096904820163
255,lightgbm_dart_n300_leaves31_lr0.1,ok,2.5,0.8764052654563604,0.6597961572987835,0.1055837090968711,0.8601108033240997,0.4890510948905109,0.947008547008547,0.6836734693877551,0.8878205128205128,0.5702127659574469,0.5,67.0,554.0,31.0,70.0,0.01975411551686525,2.211479872407618,0.013501312086962813
256,lightgbm_dart_n300_leaves63_lr0.1,ok,2.47,0.8764052654563604,0.6597961572987835,0.1055837106118742,0.8601108033240997,0.4890510948905109,0.947008547008547,0.6836734693877551,0.8878205128205128,0.5702127659574469,0.5,67.0,554.0,31.0,70.0,0.01975411551686525,2.211479872407618,0.013501312086962813
257,rf_n100_d10_balanced,ok,1.45,0.8763241624555493,0.6200467382740708,0.1126845590221382,0.8462603878116344,0.5693430656934306,0.9111111111111112,0.6,0.9003378378378378,0.5842696629213483,0.5,78.0,533.0,52.0,59.0,0.01975952004355834,2.208581086472051,0.013601896041986583
258,lightgbm_goss_n300_leaves63_lr0.05,ok,0.71,0.8762680142242186,0.6416826585063116,0.1070542821113594,0.8559556786703602,0.5182481751824818,0.935042735042735,0.6513761467889908,0.8923327895595432,0.5772357723577236,0.5,71.0,547.0,38.0,66.0,0.019763259915728266,2.206574677559323,0.013671893845032757
259,xgboost_n500_d11_lr0.1,ok,2.95,0.8762680142242186,0.6237118101517665,0.1141740428272851,0.853185595567867,0.4963503649635036,0.9367521367521368,0.6476190476190476,0.8881685575364667,0.5619834710743802,0.5,68.0,548.0,37.0,69.0,0.019763259915728266,2.206574677559323,0.013671893845032757
260,lightgbm_goss_n300_leaves31_lr0.05,ok,0.72,0.8762680142242186,0.6416826585063116,0.1070542821113594,0.8559556786703602,0.5182481751824818,0.935042735042735,0.6513761467889908,0.8923327895595432,0.5772357723577236,0.5,71.0,547.0,38.0,66.0,0.019763259915728266,2.206574677559323,0.013671893845032757
261,xgboost_n100_d9_lr0.1,ok,1.32,0.8762617755318486,0.6510603342641771,0.1034957815247361,0.8642659279778393,0.4890510948905109,0.952136752136752,0.7052631578947368,0.8883572567783095,0.5775862068965517,0.5,67.0,557.0,28.0,70.0,0.019763675370089266,2.2063517655921587,0.013679689748725576
262,rf_n300_d5_None,ok,3.94,0.876224343377628,0.6565686025800941,0.1068009463476849,0.850415512465374,0.2554744525547445,0.9897435897435898,0.8536585365853658,0.8502202643171806,0.3932584269662921,0.5,35.0,579.0,6.0,102.0,0.019766167731011038,2.205014387652323,0.013726542468145753
