strategy,pt,net_benefit,net_benefit_treat_all,beats_both
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.16785953177257523,0.07139860055041206,-0.011533284781564873,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.16983277591973242,0.07088640241873576,-0.01393762221618386,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.1718060200668896,0.07008986698948703,-0.016353416736668236,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.1737792642140468,0.07025443469452564,-0.01878075043110894,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.175752508361204,0.07044579184229874,-0.021219706173670777,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.1777257525083612,0.06972065630266223,-0.02367036763402408,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.1796989966555184,0.07047375127165476,-0.026132819286913023,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.18167224080267558,0.07057897251336208,-0.02860714642186188,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.18364548494983277,0.07105624758269191,-0.031093435153022098,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.18561872909698995,0.06930702532724381,-0.03359177242916289,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.18759197324414714,0.06930264568484168,-0.03610224604380699,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.18956521739130433,0.0677655433729444,-0.03862494464551483,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.19153846153846152,0.0674314388232715,-0.041159957748319015,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.1935117056856187,0.06670358723397712,-0.04370737574231218,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.1954849498327759,0.06620527466552198,-0.04626728990439058,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.19745819397993308,0.06647565129486929,-0.04883979240915634,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.1994314381270903,0.06560799160117523,-0.05142497633998061,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.2014046822742475,0.06514652223278003,-0.054022935700231034,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.20337792642140468,0.06508934347155435,-0.05663376542466583,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.20535117056856186,0.06484681310127392,-0.059257561390998165,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.20732441471571905,0.06383886739466792,-0.06189442043163226,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.20929765886287624,0.0636171744424805,-0.06454444034557635,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.21127090301003343,0.06200680316753922,-0.0672077199105337,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.21324414715719062,0.061443612248039695,-0.0698843588951758,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.2152173913043478,0.06188954481667809,-0.07257445807160096,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.217190635451505,0.06080960190894806,-0.07527811922798064,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.21916387959866218,0.061089410237818276,-0.0779954451813987,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.22113712374581937,0.06117002493684506,-0.08072653979088437,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.22311036789297656,0.058716631230036315,-0.08347150797064509,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.22508361204013377,0.0588271731221956,-0.08623045570350094,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.22705685618729096,0.057950433766892656,-0.08900349005452451,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.22903010033444815,0.05763042291001408,-0.09179071918489137,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.23100334448160534,0.05754977811069899,-0.09459225236594251,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.23297658862876253,0.056331512364925077,-0.09740819999346453,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.23494983277591971,0.05551132533797963,-0.10023867360219088,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.2369230769230769,0.05523786881553594,-0.1030837858805275,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.2388963210702341,0.055169275360520464,-0.10594365068550846,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.24086956521739128,0.0556581951253758,-0.10881838305798378,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.24284280936454847,0.054647624531165465,-0.11170809923804567,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.24481605351170566,0.054146931073792634,-0.11461291668069598,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.24678929765886284,0.055202300798885454,-0.11753295407176031,True
