name,auroc_mean,auroc_std,auprc_mean,f1_mean,accuracy_mean,fit_seconds,status
"XGBoost(n=200,depth=4,lr=0.05)",0.8343,0.0244,0.9598,0.9287,0.8751,1.21,ok
"XGBoost(n=200,depth=3,lr=0.05)",0.8342,0.0196,0.9586,0.929,0.8759,1.05,ok
"LogisticRegression(C=0.01,solver=lbfgs)",0.8341,0.0075,0.9598,0.9188,0.8549,0.11,ok
"ExtraTrees(n=100,depth=5,criterion=gini)",0.8339,0.0219,0.9591,0.9155,0.8448,1.45,ok
"CatBoost(iter=300,depth=6,lr=0.1)",0.8339,0.0213,0.9619,0.9263,0.8704,4.43,ok
"XGBoost(n=200,depth=4,lr=0.01)",0.8336,0.0221,0.9591,0.9349,0.8844,1.24,ok
"XGBoost(n=200,depth=3,lr=0.01)",0.8333,0.0186,0.9587,0.929,0.8735,1.09,ok
"RandomForest(n=50,depth=None,criterion=entropy)",0.8332,0.0298,0.9571,0.9287,0.8735,1.05,ok
"ExtraTrees(n=50,depth=10,criterion=gini)",0.8332,0.0262,0.9608,0.9225,0.8596,0.85,ok
"AdaBoost(n=100,lr=0.5)",0.833,0.0153,0.9593,0.9226,0.8642,2.85,ok
"SGDClassifier(loss=log_loss,alpha=0.1)",0.8327,0.0085,0.9593,0.9193,0.8557,0.11,ok
"AdaBoost(n=200,lr=1.0)",0.8322,0.0205,0.9594,0.9211,0.8635,5.69,ok
"AdaBoost(n=200,lr=0.1)",0.832,0.0169,0.9575,0.926,0.8666,5.66,ok
"GradBoost(n=200,lr=0.05,depth=3)",0.8319,0.0174,0.9589,0.9276,0.8728,10.31,ok
"ExtraTrees(n=50,depth=15,criterion=gini)",0.8318,0.0213,0.9595,0.9213,0.8588,0.9,ok
"GradBoost(n=50,lr=0.2,depth=3)",0.8316,0.0188,0.9585,0.9253,0.8697,2.61,ok
"GradBoost(n=50,lr=0.1,depth=3)",0.8315,0.015,0.9587,0.9294,0.8759,2.59,ok
"GradBoost(n=50,lr=0.2,depth=4)",0.8314,0.0085,0.959,0.9178,0.8565,3.44,ok
"GradBoost(n=200,lr=0.1,depth=2)",0.8314,0.0186,0.9586,0.9231,0.8658,7.35,ok
"AdaBoost(n=50,lr=0.5)",0.8312,0.0177,0.957,0.9228,0.8642,1.5,ok
"CatBoost(iter=200,depth=4,lr=0.1)",0.8312,0.0246,0.9583,0.9257,0.8696,1.58,ok
RidgeClassifier(alpha=100),0.831,0.0152,0.9558,0.9214,0.8596,0.11,ok
"GradBoost(n=100,lr=0.05,depth=4)",0.831,0.0173,0.9575,0.9315,0.8798,6.79,ok
"CatBoost(iter=200,depth=6,lr=0.1)",0.8307,0.0191,0.9603,0.9274,0.872,3.06,ok
"GradBoost(n=100,lr=0.1,depth=3)",0.8306,0.0169,0.9586,0.9282,0.8743,5.2,ok
"LightGBM(n=200,depth=3,lr=0.1)",0.8305,0.0196,0.9593,0.9241,0.8673,0.38,ok
"XGBoost(n=200,depth=3,lr=0.1)",0.8303,0.0222,0.9579,0.9303,0.8782,0.9,ok
"LightGBM(n=100,depth=3,lr=0.01)",0.8303,0.0262,0.9564,0.9223,0.8588,0.26,ok
"CatBoost(iter=100,depth=6,lr=0.1)",0.8301,0.0224,0.9594,0.9289,0.8743,1.73,ok
"CatBoost(iter=300,depth=4,lr=0.1)",0.8298,0.0238,0.9587,0.9242,0.8673,2.15,ok
"ExtraTrees(n=50,depth=5,criterion=entropy)",0.8295,0.0194,0.9588,0.9155,0.8448,0.86,ok
"SVC(kernel=rbf,C=1)",0.8293,0.0231,0.9583,0.9221,0.8596,0.91,ok
"GradBoost(n=100,lr=0.1,depth=4)",0.8292,0.0179,0.9575,0.9289,0.8759,6.68,ok
"LightGBM(n=100,depth=7,lr=0.01)",0.8292,0.0273,0.9572,0.9272,0.8689,0.53,ok
"GradBoost(n=50,lr=0.1,depth=2)",0.8291,0.0164,0.9576,0.9218,0.8619,1.82,ok
"GradBoost(n=100,lr=0.05,depth=2)",0.829,0.0158,0.9587,0.9245,0.8666,4.67,ok
"SVC(kernel=rbf,C=0.1)",0.829,0.0242,0.9582,0.9141,0.8417,0.86,ok
"GradBoost(n=200,lr=0.05,depth=4)",0.8287,0.02,0.9563,0.9293,0.8766,14.15,ok
"GradBoost(n=50,lr=0.2,depth=2)",0.8285,0.021,0.958,0.9258,0.8697,1.84,ok
"GradBoost(n=50,lr=0.1,depth=4)",0.8282,0.0122,0.9571,0.9265,0.8712,3.38,ok
"GradBoost(n=100,lr=0.2,depth=2)",0.8282,0.0247,0.9588,0.9244,0.8681,3.58,ok
"LightGBM(n=100,depth=5,lr=0.01)",0.8276,0.0292,0.9558,0.9273,0.8689,0.4,ok
"ExtraTrees(n=50,depth=5,criterion=gini)",0.8273,0.0239,0.958,0.9159,0.8456,0.85,ok
"AdaBoost(n=100,lr=1.0)",0.8272,0.016,0.9584,0.9221,0.865,2.86,ok
"GradBoost(n=200,lr=0.2,depth=2)",0.8269,0.0195,0.9576,0.9231,0.8658,7.36,ok
"LogisticRegression(C=0.1,solver=liblinear)",0.8268,0.018,0.9554,0.9194,0.8588,0.14,ok
"GradBoost(n=100,lr=0.2,depth=3)",0.8266,0.0198,0.9554,0.926,0.8712,5.18,ok
"GradBoost(n=100,lr=0.2,depth=4)",0.8266,0.0061,0.9578,0.9194,0.8596,6.88,ok
"GradBoost(n=200,lr=0.01,depth=4)",0.8265,0.0164,0.9545,0.9288,0.8736,13.25,ok
"GradBoost(n=200,lr=0.01,depth=3)",0.826,0.0199,0.9551,0.93,0.8751,10.27,ok
"XGBoost(n=100,depth=5,lr=0.01)",0.8259,0.0287,0.9547,0.9216,0.858,0.98,ok
"LogisticRegression(C=0.1,solver=lbfgs)",0.8257,0.0185,0.9557,0.9179,0.8557,0.12,ok
"AdaBoost(n=100,lr=0.1)",0.8256,0.0162,0.9562,0.9212,0.8573,2.89,ok
"GradBoost(n=50,lr=0.05,depth=3)",0.8255,0.0168,0.9557,0.9302,0.8759,2.62,ok
"GradBoost(n=50,lr=0.05,depth=4)",0.8255,0.0166,0.9545,0.9276,0.872,3.38,ok
"GradBoost(n=200,lr=0.1,depth=3)",0.8254,0.018,0.956,0.9253,0.8697,10.41,ok
"XGBoost(n=100,depth=6,lr=0.01)",0.8251,0.0341,0.9532,0.9258,0.8658,1.27,ok
"SGDClassifier(loss=log_loss,alpha=0.01)",0.8242,0.0219,0.9545,0.919,0.8572,0.14,ok
"XGBoost(n=100,depth=3,lr=0.01)",0.8241,0.0192,0.954,0.9203,0.8549,0.55,ok
"AdaBoost(n=50,lr=1.0)",0.8235,0.0211,0.9555,0.919,0.8588,1.52,ok
RidgeClassifier(alpha=10),0.8229,0.0148,0.9517,0.9184,0.8549,0.11,ok
"GradBoost(n=200,lr=0.2,depth=4)",0.8229,0.014,0.9548,0.923,0.8658,13.85,ok
"XGBoost(n=100,depth=4,lr=0.01)",0.8221,0.0259,0.9519,0.9237,0.8619,0.72,ok
"GradBoost(n=200,lr=0.2,depth=3)",0.8213,0.0209,0.953,0.9249,0.8697,10.8,ok
