n,rep,sens,spec,dor,fp,n_neg,lrp,lrp_lo,lrp_hi,lrp_ratio,degenerate
1000,83,0.24050632911392406,0.9869358669833729,23.92272727272719,11,842,18.409666283083943,13.458868598922242,24.696030441460966,1.8349261871416571,True
1000,84,0.11392405063291139,0.998812351543943,108.12857142857106,1,842,95.92405063291108,25.817475495302695,349.53053254798806,13.538524810901153,True
1000,85,0.10126582278481013,0.998812351543943,94.76056338028137,1,842,85.26582278480984,23.61853752850774,301.8845206869468,12.781677117923584,True
1000,86,0.06329113924050633,0.998812351543943,56.82432432432414,1,842,53.291139240506155,16.81101339455476,165.6761476877851,9.85521478089174,True
1000,87,0.9936708860759493,0.2921615201900237,64.80201342281843,596,842,1.4038102115368276,1.3543129147012554,1.4270580750825637,1.05371370204895,True
1000,88,0.13291139240506328,0.998812351543943,128.91240875912365,1,842,111.91139240506291,29.066826755787055,422.5662907582214,14.537751035175885,True
1000,89,0.0949367088607595,0.998812351543943,88.21678321678294,1,842,79.93670886075924,22.507776251680237,278.4221679781341,12.37004335145501,True
1000,90,0.08227848101265822,0.998812351543943,75.39999999999974,1,842,69.27848101265799,20.26039917459824,232.32320422471932,11.466862139419138,True
1000,91,0.13291139240506328,0.998812351543943,128.91240875912365,1,842,111.91139240506291,29.066826755787055,422.5662907582214,14.537751035175885,True
1000,92,0.0759493670886076,0.998812351543943,69.12328767123265,1,842,63.94936708860738,19.122127945915256,209.73946424654366,10.968416529779931,True
1000,93,0.0759493670886076,0.998812351543943,69.12328767123265,1,842,63.94936708860738,19.122127945915256,209.73946424654366,10.968416529779931,True
1000,94,0.12025316455696203,0.998812351543943,114.95683453237372,1,842,101.25316455696169,26.906702451049,373.68064831603704,13.888013553346761,True
1000,95,0.12025316455696203,0.998812351543943,114.95683453237372,1,842,101.25316455696169,26.906702451049,373.68064831603704,13.888013553346761,True
1000,96,0.08860759493670886,0.998812351543943,81.76388888888862,1,842,74.60759493670861,21.388649854245347,255.22698045730755,11.93282335241224,True
1000,97,0.9936708860759493,0.13182897862232779,23.839945280437625,731,842,1.144556615698973,1.1231477399477545,1.1438828409370592,1.0184615970382216,True
1000,98,0.0949367088607595,0.998812351543943,88.21678321678294,1,842,79.93670886075924,22.507776251680237,278.4221679781341,12.37004335145501,True
1000,99,0.06329113924050633,0.998812351543943,56.82432432432414,1,842,53.291139240506155,16.81101339455476,165.6761476877851,9.85521478089174,True
